Date,T-12,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_median,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus3
1940-01-01,3.3842,3.41,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.565,0.3875000000000002,0.0006708100000000017,3.7717,3.8492
1940-02-01,3.41,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.5908499999999997,0.4133,0.003333370000000011,3.8233,3.875
1940-03-01,3.4875,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.66835,0.36170000000000035,0.003333370000000011,3.8492,3.9267
1940-04-01,3.5133,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.72,0.3359000000000001,0.0006708100000000017,3.8492,3.9267
1940-05-01,3.5133,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.7329,0.3616999999999999,0.0006656399999999909,3.875,3.9783
1940-06-01,3.565,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.7458,0.3616999999999999,0.003338529999999976,3.9267,4.03
1940-07-01,3.565,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.75875,0.3616999999999999,0.002672889999999985,3.9267,4.0558
1940-08-01,3.6167,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.7975000000000003,0.36160000000000014,0.002662560000000009,3.9783,4.1592
1940-09-01,3.72,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,3.83625,0.31000000000000005,0.00533545000000004,4.03,4.1592
1940-10-01,3.72,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,3.8492,0.33579999999999943,0.003338529999999999,4.0558,4.185
1940-11-01,3.7458,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,3.8621,0.4134000000000002,0.011357200000000092,4.1592,4.2367
1940-12-01,3.7458,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,3.90085,0.4134000000000002,0.010691560000000124,4.1592,4.2883
1941-01-01,3.7717,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,3.9267,0.41329999999999956,0.0006656399999999679,4.185,4.34
1941-02-01,3.8233,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,3.9524999999999997,0.41339999999999977,0.003338529999999999,4.2367,4.3658
1941-03-01,3.8492,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.00415,0.4390999999999994,0.005335449999999995,4.2883,4.4433
1941-04-01,3.8492,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.0428999999999995,0.4907999999999997,0.005335449999999995,4.34,4.495
1941-05-01,3.875,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.1075,0.4908000000000001,0.003338530000000045,4.3658,4.5467
1941-06-01,3.9267,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.1592,0.5166,0.006671889999999965,4.4433,4.5725
1941-07-01,3.9267,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.1721,0.5683000000000002,0.008679139999999981,4.495,4.5983
1941-08-01,3.9783,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.21085,0.5684000000000005,0.005345780000000062,4.5467,4.65
1941-09-01,4.03,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.262499999999999,0.5424999999999995,0.003338529999999999,4.5725,4.7533
1941-10-01,4.0558,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.31415,0.5425000000000004,0.0013312799999999816,4.5983,4.805
1941-11-01,4.1592,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.3529,0.4908000000000001,0.003338530000000045,4.65,4.8567
1941-12-01,4.1592,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.40455,0.5941000000000001,0.01334378000000002,4.7533,4.8825
1942-01-01,4.185,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.46915,0.6200000000000001,0.013343779999999927,4.805,4.8825
1942-02-01,4.2367,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.52085,0.6200000000000001,0.00534577999999997,4.8567,4.8825
1942-03-01,4.2883,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.5596,0.5942000000000007,0.003338530000000045,4.8825,4.9084
1942-04-01,4.34,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.5854,0.5425000000000004,0.0006656400000000138,4.8825,5.0634
1942-05-01,4.3658,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.62415,0.5167000000000002,0.0,4.8825,5.0892
1942-06-01,4.4433,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.701650000000001,0.4651000000000005,0.0006708100000000017,4.9084,5.115
1942-07-01,4.495,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,4.77915,0.5683999999999996,0.024695809999999804,5.0634,5.115
1942-08-01,4.5467,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,4.83085,0.5424999999999995,0.024690639999999816,5.0892,5.1925
1942-09-01,4.5725,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,4.8696,0.5425000000000004,0.0013312800000000275,5.115,5.27
1942-10-01,4.5983,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,4.8825,0.5167000000000002,0.0006656400000000138,5.115,5.2184
1942-11-01,4.65,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,4.8825,0.5424999999999995,0.006006249999999951,5.1925,5.2959
1942-12-01,4.7533,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,4.89545,0.5166999999999993,0.012012499999999902,5.27,5.3217
1943-01-01,4.805,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,4.9859,0.4134000000000002,0.008668809999999914,5.2184,5.3992
1943-02-01,4.8567,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.0763,0.4391999999999996,0.008668809999999914,5.2959,5.425
1943-03-01,4.8825,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.1021,0.4391999999999996,0.006671889999999965,5.3217,5.5284
1943-04-01,4.8825,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.115,0.5167000000000002,0.006671890000000102,5.3992,5.58
1943-05-01,4.8825,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.1537500000000005,0.5424999999999995,0.006671890000000056,5.425,5.6059
1943-06-01,4.9084,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.20545,0.6200000000000001,0.011357200000000092,5.5284,5.7092
1943-07-01,5.0634,5.0892,5.115,5.115,5.1925,5.27,5.2184,5.2959,5.3217,5.3992,5.425,5.5284,5.244199999999999,0.5166000000000004,0.013354120000000087,5.58,5.7092
